"","HostCorrectedName","Group","HostFamily","Longitude","Latitude","PopulationType","HostEnvironment","country","continent","Threat","ThreatDic","ThreatDic2","ThreatDis","hostName","hostHomeRange","massKG","groupSizePriUng","groupSizeCar","type"
"162","Monachus monachus","carnivores","Phocidae",22.98,39.04,"WN","marine",NA,NA,4,1,1,1,"Monachus_monachus",NA,292.5,NA,"non_group","ThreatDisease"
"163","Ovis canadensis","ungulates","Bovidae",-112.56,45.71,"WN","terrestrial","United States of America","North America",2,1,1,1,"Ovis_canadensis",19,74.6449,5.5,NA,"ThreatDisease"
"164","Syncerus caffer","ungulates","Bovidae",36.91,0.28,"WN","terrestrial","Kenya","Africa",2,1,1,1,"Syncerus_caffer",63.8,580.0027,1506,NA,"ThreatDisease"
"165","Tragelaphus imberbis","ungulates","Bovidae",38.14,-3.33,"WN","terrestrial","Kenya","Africa",2,1,1,1,"Tragelaphus_imberbis",NA,81.5755,3,NA,"ThreatDisease"
"166","Urocyon littoralis","carnivores","Canidae",-118.42,33.39,"WN","terrestrial","United States of America","North America",4,1,1,1,"Urocyon_littoralis",0.42,1.896,NA,"non_group","ThreatDisease"
"167","Alcelaphus buselaphus","ungulates","Bovidae",29.98,-31.3,NA,"terrestrial","South Africa","Africa",2,1,1,1,"Alcelaphus_buselaphus",2.75,171.0015,20,NA,"Disease"
"168","Antidorcas marsupialis","ungulates","Bovidae",21.04,-25.19,"WN","terrestrial","Botswana","Africa",2,1,1,1,"Antidorcas_marsupialis",NA,31.5,3000,NA,"Disease"
"169","Bos frontalis","ungulates","Bovidae",92.94,26.2,"WO","terrestrial","India","Asia",2,1,1,1,"Bos_frontalis",NA,NA,40,NA,"Disease"
"170","Bos grunniens","ungulates","Bovidae",92.94,26.2,"WO","terrestrial","India","Asia",2,1,1,1,"Bos_grunniens",NA,NA,110,NA,"Disease"
"171","Canis simensis","carnivores","Canidae",39.86,6.84,"WN","terrestrial","Ethiopia","Africa",3,1,1,1,"Canis_simensis",4.21,10,NA,"group","Disease"
"172","Connochaetes taurinus","ungulates","Bovidae",31.45,-23.82,"WN","terrestrial","South Africa","Africa",2,1,1,1,"Connochaetes_taurinus",NA,179.999,20,NA,"Disease"
"173","Damaliscus lunatus","ungulates","Bovidae",28.68,-24.65,"WN","terrestrial","South Africa","Africa",2,1,1,1,"Damaliscus_lunatus",NA,136.0003,3.6,NA,"Disease"
"174","Eumetopias jubatus","carnivores","Otariidae",-178.14,56.91,"WN","marine",NA,NA,3,1,1,1,"Eumetopias_jubatus",NA,310,NA,"group","Disease"
"175","Lycaon pictus","carnivores","Canidae",22.64,-19.3,"WN","terrestrial","Botswana","Africa",3,1,1,1,"Lycaon_pictus",403,22.0501,NA,"group","Disease"
"176","Monachus monachus","carnivores","Phocidae",22.98,39.04,"WN","marine",NA,NA,4,1,1,1,"Monachus_monachus",NA,292.5,NA,"non_group","Disease"
"177","Ovis canadensis","ungulates","Bovidae",-112.56,45.71,"WN","terrestrial","United States of America","North America",2,1,1,1,"Ovis_canadensis",19,74.6449,5.5,NA,"Disease"
"178","Syncerus caffer","ungulates","Bovidae",36.91,0.28,"WN","terrestrial","Kenya","Africa",2,1,1,1,"Syncerus_caffer",63.8,580.0027,1506,NA,"Disease"
"179","Tragelaphus imberbis","ungulates","Bovidae",38.14,-3.33,"WN","terrestrial","Kenya","Africa",2,1,1,1,"Tragelaphus_imberbis",NA,81.5755,3,NA,"Disease"
"180","Urocyon littoralis","carnivores","Canidae",-118.42,33.39,"WN","terrestrial","United States of America","North America",4,1,1,1,"Urocyon_littoralis",0.42,1.896,NA,"non_group","Disease"
